Vartika Software Private Limited,2008-01-01,b'Vartika Software Private Limited',51,100,webmaster@vartikasoftware.com,+919999943885,,https://www.vartikasoftware.com,United States,South Carolina,,,,https://www.vartikasoftware.com,https://twitter.com/vartikasoftware,https://in.linkedin.com/in/vartika-software-a622b2169,,,,,,,Software,,,,,,,
"Iron Lot, LLC",2007-10-01,"b'Iron Lot is a supplier of construction equipment, to include trench boxes, manhole boxes, bedding boxes, and road plates.'",1,10,mikecampbell@ironlot.com,336-516-8011,,https://www.ironlot.com,United States,North Carolina,27215,b'2731 Huffman Mill Road',,https://www.ironlot.com,https://www.facebook.com/Iron.Lot.Construction.Equipment/,https://twitter.com/ironlot,https://www.linkedin.com/company/iron-lot-trench-boxes-construction-equipment/,,,,,,E-Commerce,,,,,,,
"Midatech Pharma US, Inc.",,"b'Midatech Pharma US, Inc.  is a specialty pharmaceutical company.'",,,,,,http://www.midatechpharmaus.com,United States,North Carolina,27615,b'8601 Six Forks Road',Suite 400,http://www.midatechpharmaus.com,,,,,,,,,Pharmaceutical,,,,,,,
Wellnecity,2015-01-01,b'Wellnecity is a healthcare technology solutions innovator that\xe2\x80\x99s reinventing the way employers and employees interact with healthcare.',,,,(704) 898-3192,,https://www.wellnecity.com/,United States,North Carolina,27101,b'500 West 5th Street',Suite 500,https://www.wellnecity.com/,https://www.linkedin.com/company/wellnecity/?originalSubdomain=in,,,,,,,,Employee Benefits,Health Care,,,,,,
Data443 Risk Mitigation,2017-01-01,"b'Data443, formed to identify whitespace existing in the security offerings of competitors & fill those gaps with self-developed technologies.'",1,10,,+1 919 526 1070,,https://www.data443.com/,United States,North Carolina,27604,b'1053 East Whitaker Mill Road',Suite 115,https://www.data443.com/,https://www.facebook.com/data443/,https://twitter.com/data443Risk,https://in.linkedin.com/company/data443-risk-mitigation-inc,,,,,,Computer,Network Security,,,,,,
TeamSynced,2014-01-01,b'TeamSynced is a communication platform intended for athletic organizations.',1,10,win@teamsynced.com,,,https://www.teamsynced.com/,United States,North Carolina,,,,https://www.teamsynced.com/,https://twitter.com/TeamSynced,https://www.linkedin.com/company/teamsynced-inc-/about/,,,,,,,File Sharing,Messaging,Software,,,,,
Racing Electronics,1988-01-01,b'Racing Electronics offers equipment and customer service throughout the motorsports industry.',51,100,support@racingelectronics.com,800.272.7111,,https://racingelectronics.com/,United States,North Carolina,,,,https://racingelectronics.com/,https://www.facebook.com/RacingElectronics/,https://twitter.com/reradioz,https://www.linkedin.com/company/racing-electronics/about/,,,,,,Sports,Automotive,Customer Service,,,,,
NC State-Wilson College of Textiles,1899-01-01,"b'NC State-Wilson College of Textiles is the global leader in textiles education, research and service.'",1001,5000,,,,https://textiles.ncsu.edu/,United States,North Carolina,27606,"b'1020 Main Campus Dr, ,'",,https://textiles.ncsu.edu/,https://www.linkedin.com/company/nc-state-wilson-college-of-textiles/,,,,,,,,Education,,,,,,,
Global Mobile Finance,2018-01-01,b'Global Mobile Finance is a provider of technology services.',11,50,,,,https://globalmobilefinance.com/,United States,North Carolina,27560,b'11010 Lake Grove Blvd',,https://globalmobilefinance.com/,https://www.linkedin.com/company/global-mobile-finance-inc/,,,Sandra K,Johnson,,"Sandra K. Johnson is the CEO, SKJ Visioneering, LLC, a fintech startup company based in Research Triangle Park, North Carolina. She is one of the first African-American women to earn a Ph.D. in electrical engineering and has obtained many firsts in her 30+ year career in technology. She had a 26-year career at IBM, with her last position as the CTO, IBM Central, East and West Africa. She is a Master Inventor with 40 pending and issued patents and over 80 technical publications in computer hardware and software performance optimization, including a book on Linux performance. Dr. Johnson earned B.S. (summa cum laude), M.S. and Ph.D. degrees, all in electrical engineering, from Southern University, Stanford University, and Rice University, respectively.",https://api.crunchbase.com/v3.1/people/sandra-k-johnson,Information Technology,,,,,,,
Ad Genius,2018-01-01,b'Ad Genius provides marketing solutions based on exceptional technical talent and creative power.',1,10,hello@ad-genius.com,+1 843-647-6950,,https://www.ad-genius.com/,United States,South Carolina,29401,,,https://www.ad-genius.com/,https://www.facebook.com/GoAdGenius/,https://twitter.com/GoAdGenius,https://www.linkedin.com/company/ad-genius/,,,,,,Advertising,,,,,,,
Kaleido,2018-01-01,b'An all-in-one enterprise SaaS platform that radically simplifies the creation and operation of private blockchain networks.',11,50,info@kaleido.io,,,https://kaleido.io/,United States,North Carolina,27601,,,https://kaleido.io/,https://www.facebook.com/kaleido.io/,https://twitter.com/Kaleido_io,https://www.linkedin.com/company/kaleido-io/,Steve,Cerveny,,"Steve began working with blockchain in 2015 helping to shape the enterprise blockchain community and to pioneer new commercial solutions. Steve's goal with Kaleido is to provide a platform that radically simplifies the barriers enterprises face when adopting blockchain technology. 

Steve has over fifteen years of experience in emerging technologies building, launching and growing enterprise products in a variety of business and technical roles. Prior to Kaleido and ConsenSys he worked at IBM in their Blockchain, Cloud and Software business units where he oversaw the creation of over a dozen cloud services.",https://api.crunchbase.com/v3.1/people/steve-cerveny,Blockchain,Enterprise Applications,SaaS,Enterprise Software,,,,
Marleylilly,2010-01-01,b'Marleylilly is an online boutique specializing in monogramming and personalization.',101,250,customerservice@marleylilly.com,+1 864-288-1660,,https://marleylilly.com/,United States,South Carolina,29650,b'300 W Phillips Rd',,https://marleylilly.com/,https://www.facebook.com/marleylilly/,https://twitter.com/marleylilly,https://www.linkedin.com/company/marley-lilly/,,,,,,Women's,Gift,E-Commerce,,,,,
Lighthouse Lab Services,,"b'Lighthouse Lab Services offers solutions for the clinical laboratory industry through recruiting, consulting, buying and selling services.'",,,,(800) 838-0602,,https://www.lighthouselabservices.com/,United States,North Carolina,27539,b'9204 Eisenhower Drive',,https://www.lighthouselabservices.com/,https://www.facebook.com/pg/LighthouseLabServices/,https://twitter.com/Lab_Recruiters,https://www.linkedin.com/company/lighthouse-recruiting/,,,,,,Staffing Agency,Biotechnology,Medical,,,,,
